source24,22,dest24,5,13.0
source24,10,dest24,13,1.0
source24,13,dest24,16,75.0
source24,4,dest24,21,48.0
source24,10,dest24,9,72.0
source24,1,dest24,4,27.0
source24,2,dest24,19,41.0
source24,22,dest24,19,81.0
source24,8,dest24,4,66.0
source24,6,dest24,1,24.0
source24,2,dest24,5,90.0
source24,20,dest24,22,48.0
source24,6,dest24,3,77.0
source24,16,dest24,10,20.0
source24,5,dest24,6,77.0
source24,7,dest24,3,75.0
source24,18,dest24,20,66.0
source24,11,dest24,7,17.0
source24,10,dest24,10,91.0
source24,6,dest24,23,98.0
source24,11,dest24,15,1.0
source24,14,dest24,9,85.0
source24,6,dest24,22,66.0
source24,19,dest24,11,17.0
source24,5,dest24,3,60.0
source24,9,dest24,16,92.0
source24,23,dest24,4,79.0
source24,11,dest24,17,71.0
source24,16,dest24,1,75.0
source24,21,dest24,16,77.0
source24,12,dest24,13,82.0
source24,5,dest24,16,65.0
source24,16,dest24,18,40.0
source24,16,dest24,22,13.0
source24,13,dest24,19,92.0
source24,2,dest24,18,48.0
source24,9,dest24,8,40.0
source24,15,dest24,1,35.0
source24,2,dest24,10,48.0
source24,24,dest24,19,73.0
source24,6,dest24,20,72.0
source24,7,dest24,5,74.0
source24,8,dest24,24,62.0
source24,11,dest24,6,83.0
source24,21,dest24,3,24.0
source24,24,dest24,18,76.0
source24,23,dest24,1,12.0
source24,2,dest24,4,4.0
source24,5,dest24,7,42.0
source24,3,dest24,18,79.0
source24,20,dest24,23,4.0
source24,8,dest24,17,87.0
source24,13,dest24,21,76.0
source24,23,dest24,9,26.0
source24,21,dest24,10,6.0
source24,19,dest24,14,10.0
source24,15,dest24,14,34.0
source24,11,dest24,20,5.0
source24,19,dest24,2,33.0
source24,20,dest24,24,49.0
source24,20,dest24,4,69.0
source24,14,dest24,17,59.0
source24,23,dest24,14,88.0
source24,16,dest24,21,23.0
source24,14,dest24,13,1.0
source24,6,dest24,10,47.0
source24,8,dest24,9,41.0
source24,24,dest24,11,36.0
source24,13,dest24,22,23.0
source24,17,dest24,18,63.0
source24,12,dest24,21,36.0
source24,11,dest24,16,89.0
source24,21,dest24,6,47.0
source24,14,dest24,1,5.0
source24,5,dest24,17,28.0
source24,24,dest24,3,88.0
source24,16,dest24,24,66.0
source24,20,dest24,14,57.0
source24,4,dest24,8,28.0
source24,1,dest24,12,42.0
source24,17,dest24,12,4.0
source24,22,dest24,20,11.0
source24,3,dest24,21,37.0
source24,9,dest24,13,58.0
source24,1,dest24,6,40.0
source24,8,dest24,7,85.0
source24,5,dest24,11,92.0
source24,7,dest24,6,36.0
source24,23,dest24,18,79.0
source24,15,dest24,15,33.0
source24,6,dest24,6,58.0
source24,8,dest24,11,13.0
source24,12,dest24,16,60.0
source24,1,dest24,1,12.0
source24,17,dest24,3,6.0
source24,2,dest24,7,69.0
source24,24,dest24,23,81.0
source24,3,dest24,4,76.0
source24,13,dest24,1,29.0
source24,10,dest24,19,71.0
