source96,91,dest96,15,20.0
source96,89,dest96,16,20.0
source96,90,dest96,33,40.0
source96,91,dest96,51,20.0
source96,40,dest96,52,10.0
source96,88,dest96,53,20.0
source96,12,dest96,54,20.0
source96,9,dest96,55,20.0
source96,1,dest96,44,10.0
source96,74,dest96,45,40.0
source96,9,dest96,46,40.0
source96,89,dest96,47,10.0
source96,74,dest96,23,20.0
source96,75,dest96,49,40.0
source96,76,dest96,54,20.0
source96,77,dest96,91,20.0
source96,89,dest96,83,20.0
source96,74,dest96,84,20.0
source96,75,dest96,81,10.0
source96,86,dest96,82,20.0
source96,66,dest96,83,20.0
source96,66,dest96,84,20.0
source96,66,dest96,85,20.0
source96,9,dest96,86,30.0
source96,85,dest96,94,20.0
source96,86,dest96,78,30.0
source96,87,dest96,72,20.0
source96,88,dest96,22,40.0
source96,89,dest96,23,40.0
source96,42,dest96,24,40.0
source96,43,dest96,94,30.0
source96,23,dest96,95,40.0
source96,84,dest96,58,50.0
source96,65,dest96,59,40.0
source96,66,dest96,93,30.0
source96,23,dest96,94,60.0
source96,24,dest96,19,40.0
source96,55,dest96,20,20.0
source96,66,dest96,21,10.0
source96,43,dest96,22,10.0
source96,80,dest96,29,40.0
source96,80,dest96,30,40.0
source96,28,dest96,31,40.0
source96,59,dest96,32,40.0
source96,60,dest96,51,30.0
source96,57,dest96,52,30.0
source96,58,dest96,19,20.0
source96,49,dest96,20,10.0
source96,66,dest96,82,20.0
source96,74,dest96,83,30.0
source96,89,dest96,84,40.0
source96,74,dest96,85,50.0
source96,89,dest96,86,20.0
source96,76,dest96,87,20.0
source96,6,dest96,88,30.0
source96,7,dest96,92,50.0
source96,89,dest96,25,40.0
source96,89,dest96,26,30.0
source96,46,dest96,27,40.0
source96,39,dest96,28,20.0
source96,46,dest96,29,10.0
source96,27,dest96,30,10.0
source96,28,dest96,87,30.0
source96,55,dest96,88,10.0
source96,47,dest96,62,20.0
source96,86,dest96,63,10.0
source96,21,dest96,64,40.0
source96,89,dest96,66,40.0
source96,89,dest96,67,40.0
source96,33,dest96,68,30.0
source96,34,dest96,42,20.0
